instance_id,task_count,instance_seed,solver_seed,drone_count,method_id,method_label,variant_description,initial_routes_sha256,late_count,late_rate,total_lateness_min,lateness_per_task_min,distance_km,distance_per_task_km,construction_seconds,search_seconds,total_runtime_seconds,iterations,valid
virtual_n30_seed2026082604,30,2026082604,2026082604,2,full_alns,完整C2-Lex-ALNS,14个算子、截止期风险引导和自适应权重全部开启,11d6f807cba165f9b80640ee9d2098c336d47dc40e410d0186a335c5288e1c61,4,0.13333333333333333,128.72678800228988,4.290892933409663,313.4350252862448,10.44783417620816,0.010274708038195968,0.4462528331205249,0.45652754115872085,1000,True
virtual_n30_seed2026082604,30,2026082604,2026082604,2,no_time_awareness,去除时间感知,关闭截止期风险引导，并移除deadline_related、late_critical、deadline和slack算子,11d6f807cba165f9b80640ee9d2098c336d47dc40e410d0186a335c5288e1c61,4,0.13333333333333333,252.04140926305263,8.40138030876842,343.6092183181664,11.453640610605548,0.010274708038195968,0.5419038340914994,0.5521785421296954,1000,True
virtual_n30_seed2026082604,30,2026082604,2026082604,2,no_capacity_conflict,去除容量冲突破坏,移除capacity_conflict破坏算子，其余设置不变,11d6f807cba165f9b80640ee9d2098c336d47dc40e410d0186a335c5288e1c61,5,0.16666666666666666,322.1372506699826,10.737908355666088,364.03837669750783,12.134612556583594,0.010274708038195968,0.5057692499831319,0.5160439580213279,1000,True
virtual_n30_seed2026082604,30,2026082604,2026082604,2,no_assignment_destroy,去除任务重分配破坏,移除assignment_destroy破坏算子，其余设置不变,11d6f807cba165f9b80640ee9d2098c336d47dc40e410d0186a335c5288e1c61,4,0.13333333333333333,161.8599719712819,5.39533239904273,345.16787885276995,11.505595961758997,0.010274708038195968,0.43986308318562806,0.450137791223824,1000,True
virtual_n30_seed2026082604,30,2026082604,2026082604,2,uniform_operator_weights,关闭自适应权重,保留14个算子，但整个搜索期间保持均匀选择权重,11d6f807cba165f9b80640ee9d2098c336d47dc40e410d0186a335c5288e1c61,3,0.1,177.6204011518144,5.920680038393813,331.17658735258016,11.039219578419338,0.010274708038195968,0.4476132078561932,0.45788791589438915,1000,True
virtual_n30_seed2026082605,30,2026082605,,2,nearest_adjacent,最近邻成对贪心,,,12,0.4,931.7266364465063,31.057554548216878,525.8342962594389,17.52780987531463,0.0,0.0023222079034894705,0.0023222079034894705,0,True
virtual_n30_seed2026082605,30,2026082605,,2,edd_adjacent,最早截止期成对贪心,,,22,0.7333333333333333,2364.623405372905,78.82078017909683,667.9934307781577,22.266447692605258,0.0,0.00032279198057949543,0.00032279198057949543,0,True
virtual_n30_seed2026082605,30,2026082605,,2,greedy_full_position,全位置词典序贪心,,,8,0.26666666666666666,639.5831821707955,21.31943940569318,428.50402621866004,14.283467540622002,0.0,0.0016483331564813852,0.0016483331564813852,0,True
virtual_n30_seed2026082605,30,2026082605,2026082605,2,full_alns,完整C2-Lex-ALNS,14个算子、截止期风险引导和自适应权重全部开启,e65f0db31289f8bf75db69a7cda484bcbf182fc7f8890973fc756776c986e8a2,3,0.1,210.6232909878344,7.020776366261146,361.0981900015118,12.036606333383727,0.009194833924993873,0.4813588340766728,0.49055366800166667,1000,True
virtual_n30_seed2026082605,30,2026082605,2026082605,2,no_time_awareness,去除时间感知,关闭截止期风险引导，并移除deadline_related、late_critical、deadline和slack算子,e65f0db31289f8bf75db69a7cda484bcbf182fc7f8890973fc756776c986e8a2,5,0.16666666666666666,210.8229844526803,7.027432815089343,345.8656112226815,11.528853707422716,0.009194833924993873,0.5171310829464346,0.5263259168714285,1000,True
virtual_n30_seed2026082605,30,2026082605,2026082605,2,no_capacity_conflict,去除容量冲突破坏,移除capacity_conflict破坏算子，其余设置不变,e65f0db31289f8bf75db69a7cda484bcbf182fc7f8890973fc756776c986e8a2,5,0.16666666666666666,253.93688157286442,8.46456271909548,330.19446937920617,11.006482312640205,0.009194833924993873,0.43096812488511205,0.4401629588101059,1000,True
