run_id,source_branch,snapshot_commit,source_file_sha256,experiment_family,experiment_stage,scenario,method,variant,label,seed,task_count,on_time_count,on_time_rate,distance_km,valid,compliant,is_new_experiment,experiment_role,source_file
be0caed9ef04b0ec,codex/uav-alns-dispatch,a39f80593aa4,9955a953cbf49ef167dfc6c1d61a2f1d8367b59abde32fe864318a245acbe2cd,uav_benchmark,fixed_iterations_400,fleet_n200,C2-Lex-ALNS,C2-Lex-ALNS,C2-Lex-ALNS,2026080503,200,120,0.6,690.9743540144424,True,True,False,existing,algorithm/results/benchmark_runs.csv
caba9657dc6836ea,codex/uav-alns-dispatch,a39f80593aa4,9955a953cbf49ef167dfc6c1d61a2f1d8367b59abde32fe864318a245acbe2cd,uav_benchmark,fixed_iterations_400,fleet_n200,C2-Lex-HALNS,C2-Lex-HALNS,C2-Lex-HALNS,2026080502,200,117,0.585,713.1134601767968,True,True,False,existing,algorithm/results/benchmark_runs.csv
df904a08b634f4a5,codex/uav-alns-dispatch,a39f80593aa4,9955a953cbf49ef167dfc6c1d61a2f1d8367b59abde32fe864318a245acbe2cd,uav_benchmark,fixed_iterations_400,fleet_n200,C2-Lex-ALNS,C2-Lex-ALNS,C2-Lex-ALNS,2026080501,200,117,0.585,727.0157897693191,True,True,False,existing,algorithm/results/benchmark_runs.csv
ff8362915301f5ac,codex/uav-alns-dispatch,a39f80593aa4,9955a953cbf49ef167dfc6c1d61a2f1d8367b59abde32fe864318a245acbe2cd,uav_benchmark,fixed_iterations_400,fleet_n200,C2-Lex-ALNS,C2-Lex-ALNS,C2-Lex-ALNS,2026080502,200,118,0.59,707.1358368906843,True,True,False,existing,algorithm/results/benchmark_runs.csv
01f475824c1ee10c,feature/adaptive-deadline-rejection-pool,d24a647ffb65,4736905c117dcf31fd1bb7d4710c98f12a8e87dd202bb26f555a75a59820ea20,adaptive_comparison,formal_240s,equal_wall_clock_240s,baseline,baseline,A2,2026080502,200,130,0.65,652.0382595087592,True,True,False,existing,results/adaptive_deadline_rejection/adaptive_runs.csv
047a8775d4e81d16,codex/stronger-uav-neighborhoods,7c380366f013,75b2d393cbca0de0ae06efbe6cb8aa2726c2101889246f540cf1d510b86f090d,neighborhood_ablation,formal_240s,equal_wall_clock_240s,A5 +ejection,A5,A5 +ejection,2026080500,200,130,0.65,648.6276957220533,True,True,False,existing,algorithm/results/neighborhood_ablation/ablation_runs.csv
0cf9598f35cc99d4,codex/stronger-uav-neighborhoods,7c380366f013,75b2d393cbca0de0ae06efbe6cb8aa2726c2101889246f540cf1d510b86f090d,neighborhood_ablation,formal_240s,equal_wall_clock_240s,A5 +ejection,A5,A5 +ejection,2026080502,200,129,0.645,666.0666703617052,True,True,False,existing,algorithm/results/neighborhood_ablation/ablation_runs.csv
1b3655e46c45a8ea,codex/stronger-uav-neighborhoods,7c380366f013,75b2d393cbca0de0ae06efbe6cb8aa2726c2101889246f540cf1d510b86f090d,neighborhood_ablation,formal_240s,equal_wall_clock_240s,A2 +risk,A2,A2 +risk,2026080500,200,129,0.645,650.2510444477645,True,True,False,existing,algorithm/results/neighborhood_ablation/ablation_runs.csv
2079d34eb4a17301,feature/adaptive-deadline-rejection-pool,d24a647ffb65,4736905c117dcf31fd1bb7d4710c98f12a8e87dd202bb26f555a75a59820ea20,adaptive_comparison,formal_240s,equal_wall_clock_240s,baseline,baseline,A2,2026080501,200,131,0.655,633.5901042671111,True,True,False,existing,results/adaptive_deadline_rejection/adaptive_runs.csv
2359366587acac55,feature/adaptive-deadline-rejection-pool,d24a647ffb65,4736905c117dcf31fd1bb7d4710c98f12a8e87dd202bb26f555a75a59820ea20,adaptive_comparison,formal_240s,equal_wall_clock_240s,experiment4,experiment4,A2 + late_risk_destroy + rejection_pool + soft_deadline,2026080502,200,123,0.615,689.406484861429,True,True,False,existing,results/adaptive_deadline_rejection/adaptive_runs.csv
