source_branch,snapshot_commit,experiment_family,experiment_stage,scenario,method,variant,label,task_count,is_new_experiment,experiment_role,run_count,valid_run_count,on_time_count_mean,on_time_count_min,on_time_count_max,on_time_rate_mean,on_time_rate_min,on_time_rate_max,distance_km_mean,distance_km_min,distance_km_max
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,over_budget_extended,fleet_n200,C2-Lex-HALNS-extended,C2-Lex-HALNS-extended,C2-Lex-HALNS-extended,200,False,existing,1,1,133.0,133,133,0.665,0.665,0.665,641.6359474952523,641.6359474952523,641.6359474952523
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,single_drone_n25,single_n25,C2-Lex-ALNS,C2-Lex-ALNS,C2-Lex-ALNS,25,False,existing,5,5,11.2,11,12,0.44800000000000006,0.44,0.48,100.10628176331903,97.49124550599691,103.9875461469365
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,single_drone_n25,single_n25,C2-Lex-HALNS,C2-Lex-HALNS,C2-Lex-HALNS,25,False,existing,5,5,11.2,11,12,0.44800000000000006,0.44,0.48,100.10628176331903,97.49124550599691,103.9875461469365
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,single_drone_n25,single_n25,Greedy-full-position,Greedy-full-position,Greedy-full-position,25,False,existing,1,1,10.0,10,10,0.4,0.4,0.4,117.66601284564837,117.66601284564837,117.66601284564837
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,single_drone_n25,single_n25,Nearest-adjacent,Nearest-adjacent,Nearest-adjacent,25,False,existing,1,1,8.0,8,8,0.32,0.32,0.32,152.76277387220406,152.76277387220406,152.76277387220406
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,single_drone_n25,single_n25,Regret-2,Regret-2,Regret-2,25,False,existing,1,1,7.0,7,7,0.28,0.28,0.28,126.28216472302651,126.28216472302651,126.28216472302651
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,single_drone_n25,single_n25,EDD-adjacent,EDD-adjacent,EDD-adjacent,25,False,existing,1,1,4.0,4,4,0.16,0.16,0.16,197.3274308131022,197.3274308131022,197.3274308131022
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n5,C2-Lex-HALNS,C2-Lex-HALNS,C2-Lex-HALNS,5,False,existing,1,1,5.0,5,5,1.0,1.0,1.0,28.9529061994293,28.9529061994293,28.9529061994293
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n5,Pareto-DP,Pareto-DP,Pareto-DP,5,False,existing,1,1,5.0,5,5,1.0,1.0,1.0,28.9529061994293,28.9529061994293,28.9529061994293
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n5,Regret-2,Regret-2,Regret-2,5,False,existing,1,1,4.0,4,4,0.8,0.8,0.8,33.27483885187293,33.27483885187293,33.27483885187293
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n8,C2-Lex-HALNS,C2-Lex-HALNS,C2-Lex-HALNS,8,False,existing,1,1,7.0,7,7,0.875,0.875,0.875,46.40393117721494,46.40393117721494,46.40393117721494
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n8,Pareto-DP,Pareto-DP,Pareto-DP,8,False,existing,1,1,7.0,7,7,0.875,0.875,0.875,46.40393117721494,46.40393117721494,46.40393117721494
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n8,Regret-2,Regret-2,Regret-2,8,False,existing,1,1,5.0,5,5,0.625,0.625,0.625,59.903063953196025,59.903063953196025,59.903063953196025
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n10,C2-Lex-HALNS,C2-Lex-HALNS,C2-Lex-HALNS,10,False,existing,1,1,8.0,8,8,0.8,0.8,0.8,54.645870364663075,54.645870364663075,54.645870364663075
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n10,Pareto-DP,Pareto-DP,Pareto-DP,10,False,existing,1,1,8.0,8,8,0.8,0.8,0.8,54.645870364663075,54.645870364663075,54.645870364663075
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n10,Regret-2,Regret-2,Regret-2,10,False,existing,1,1,7.0,7,7,0.7,0.7,0.7,48.40031812367463,48.40031812367463,48.40031812367463
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n12,Pareto-DP,Pareto-DP,Pareto-DP,12,False,existing,1,1,9.0,9,9,0.75,0.75,0.75,62.41057960612646,62.41057960612646,62.41057960612646
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n12,C2-Lex-HALNS,C2-Lex-HALNS,C2-Lex-HALNS,12,False,existing,1,1,9.0,9,9,0.75,0.75,0.75,64.18490207787289,64.18490207787289,64.18490207787289
codex/uav-alns-dispatch,a39f80593aa4,uav_benchmark,small_exact,exact_n12,Regret-2,Regret-2,Regret-2,12,False,existing,1,1,6.0,6,6,0.5,0.5,0.5,62.852801995107754,62.852801995107754,62.852801995107754
